"Kod";"Nazwa";"ogółem;2021;[-]";
0201000;"Powiat bolesławiecki";3,8;
0202000;"Powiat dzierżoniowski";3,5;
0203000;"Powiat głogowski";4,2;
0204000;"Powiat górowski";4,0;
0205000;"Powiat jaworski";3,3;
0206000;"Powiat karkonoski";3,5;
0207000;"Powiat kamiennogórski";4,1;
0208000;"Powiat kłodzki";3,4;
0209000;"Powiat legnicki";4,3;
0210000;"Powiat lubański";3,8;
0211000;"Powiat lubiński";4,4;
0212000;"Powiat lwówecki";3,8;
0213000;"Powiat milicki";4,9;
0214000;"Powiat oleśnicki";4,3;
0215000;"Powiat oławski";4,1;
0216000;"Powiat polkowicki";4,6;
0217000;"Powiat strzeliński";3,5;
0218000;"Powiat średzki";4,0;
0219000;"Powiat świdnicki";4,0;
0220000;"Powiat trzebnicki";4,4;
0221000;"Powiat wałbrzyski";3,5;
0222000;"Powiat wołowski";4,6;
0223000;"Powiat wrocławski";4,5;
0224000;"Powiat ząbkowicki";4,1;
0225000;"Powiat zgorzelecki";4,3;
0226000;"Powiat złotoryjski";4,2;
0261000;"Powiat m. Jelenia Góra";3,7;
0262000;"Powiat m. Legnica";4,2;
0264000;"Powiat m. Wrocław";5,6;
0265000;"Powiat m. Wałbrzych od 2013";3,8;
0401000;"Powiat aleksandrowski";4,3;
0402000;"Powiat brodnicki";4,8;
0403000;"Powiat bydgoski";4,0;
0404000;"Powiat chełmiński";3,9;
0405000;"Powiat golubsko-dobrzyński";3,6;
0406000;"Powiat grudziądzki";3,6;
0407000;"Powiat inowrocławski";4,2;
0408000;"Powiat lipnowski";4,3;
0409000;"Powiat mogileński";4,1;
0410000;"Powiat nakielski";4,2;
0411000;"Powiat radziejowski";4,4;
0412000;"Powiat rypiński";3,7;
0413000;"Powiat sępoleński";3,8;
0414000;"Powiat świecki";4,2;
0415000;"Powiat toruński";4,0;
0416000;"Powiat tucholski";4,4;
0417000;"Powiat wąbrzeski";4,9;
0418000;"Powiat włocławski";4,2;
0419000;"Powiat żniński";4,4;
0461000;"Powiat m. Bydgoszcz";4,4;
0462000;"Powiat m. Grudziądz";3,6;
0463000;"Powiat m. Toruń";4,7;
0464000;"Powiat m. Włocławek";4,3;
0601000;"Powiat bialski";4,6;
0602000;"Powiat biłgorajski";4,3;
0603000;"Powiat chełmski";4,5;
0604000;"Powiat hrubieszowski";4,4;
0605000;"Powiat janowski";4,9;
0606000;"Powiat krasnostawski";4,1;
0607000;"Powiat kraśnicki";4,5;
0608000;"Powiat lubartowski";4,3;
0609000;"Powiat lubelski";3,9;
0610000;"Powiat łęczyński";4,8;
0611000;"Powiat łukowski";5,1;
0612000;"Powiat opolski";4,5;
0613000;"Powiat parczewski";4,0;
0614000;"Powiat puławski";4,0;
0615000;"Powiat radzyński";4,9;
0616000;"Powiat rycki";4,8;
0617000;"Powiat świdnicki";4,0;
0618000;"Powiat tomaszowski";4,3;
0619000;"Powiat włodawski";3,5;
0620000;"Powiat zamojski";4,2;
0661000;"Powiat m. Biała Podlaska";4,4;
0662000;"Powiat m. Chełm";4,0;
0663000;"Powiat m. Lublin";4,7;
0664000;"Powiat m. Zamość";3,9;
0801000;"Powiat gorzowski";3,6;
0802000;"Powiat krośnieński";4,2;
0803000;"Powiat międzyrzecki";3,7;
0804000;"Powiat nowosolski";4,1;
0805000;"Powiat słubicki";5,1;
0806000;"Powiat strzelecko-drezdenecki";3,8;
0807000;"Powiat sulęciński";3,6;
0808000;"Powiat świebodziński";3,9;
0809000;"Powiat zielonogórski";4,2;
0810000;"Powiat żagański";4,4;
0811000;"Powiat żarski";3,8;
0812000;"Powiat wschowski";4,6;
0861000;"Powiat m. Gorzów Wielkopolski";4,9;
0862000;"Powiat m. Zielona Góra";3,9;
1001000;"Powiat bełchatowski";4,5;
1002000;"Powiat kutnowski";4,1;
1003000;"Powiat łaski";4,1;
1004000;"Powiat łęczycki";3,9;
1005000;"Powiat łowicki";4,3;
1006000;"Powiat łódzki wschodni";3,9;
1007000;"Powiat opoczyński";4,8;
1008000;"Powiat pabianicki";3,8;
1009000;"Powiat pajęczański";4,8;
1010000;"Powiat piotrkowski";4,5;
1011000;"Powiat poddębicki";4,6;
1012000;"Powiat radomszczański";4,2;
1013000;"Powiat rawski";4,5;
1014000;"Powiat sieradzki";4,7;
1015000;"Powiat skierniewicki";4,7;
1016000;"Powiat tomaszowski";4,6;
1017000;"Powiat wieluński";4,2;
1018000;"Powiat wieruszowski";4,8;
1019000;"Powiat zduńskowolski";3,6;
1020000;"Powiat zgierski";4,1;
1021000;"Powiat brzeziński";3,7;
1061000;"Powiat m. Łódź";4,4;
1062000;"Powiat m. Piotrków Trybunalski";3,8;
1063000;"Powiat m. Skierniewice";4,5;
1201000;"Powiat bocheński";4,5;
1202000;"Powiat brzeski";4,6;
1203000;"Powiat chrzanowski";3,8;
1204000;"Powiat dąbrowski";4,9;
1205000;"Powiat gorlicki";4,4;
1206000;"Powiat krakowski";3,9;
1207000;"Powiat limanowski";5,3;
1208000;"Powiat miechowski";4,0;
1209000;"Powiat myślenicki";4,9;
1210000;"Powiat nowosądecki";5,1;
1211000;"Powiat nowotarski";4,6;
1212000;"Powiat olkuski";4,1;
1213000;"Powiat oświęcimski";4,4;
1214000;"Powiat proszowicki";4,2;
1215000;"Powiat suski";4,9;
1216000;"Powiat tarnowski";4,8;
1217000;"Powiat tatrzański";4,6;
1218000;"Powiat wadowicki";4,5;
1219000;"Powiat wielicki";4,2;
1261000;"Powiat m. Kraków";6,1;
1262000;"Powiat m. Nowy Sącz";4,6;
1263000;"Powiat m. Tarnów";3,5;
1401000;"Powiat białobrzeski";5,6;
1402000;"Powiat ciechanowski";4,4;
1403000;"Powiat garwoliński";5,4;
1404000;"Powiat gostyniński";4,2;
1405000;"Powiat grodziski";4,6;
1406000;"Powiat grójecki";5,0;
1407000;"Powiat kozienicki";4,8;
1408000;"Powiat legionowski";4,3;
1409000;"Powiat lipski";3,9;
1410000;"Powiat łosicki";4,9;
1411000;"Powiat makowski";4,8;
1412000;"Powiat miński";4,2;
1413000;"Powiat mławski";5,0;
1414000;"Powiat nowodworski";4,9;
1415000;"Powiat ostrołęcki";4,9;
1416000;"Powiat ostrowski";4,4;
1417000;"Powiat otwocki";4,2;
1418000;"Powiat piaseczyński";4,0;
1419000;"Powiat płocki";4,6;
1420000;"Powiat płoński";4,4;
1421000;"Powiat pruszkowski";3,7;
1422000;"Powiat przasnyski";4,3;
1423000;"Powiat przysuski";4,9;
1424000;"Powiat pułtuski";3,9;
1425000;"Powiat radomski";4,6;
1426000;"Powiat siedlecki";5,1;
1427000;"Powiat sierpecki";4,3;
1428000;"Powiat sochaczewski";5,0;
1429000;"Powiat sokołowski";4,8;
1430000;"Powiat szydłowiecki";4,5;
1432000;"Powiat warszawski zachodni";3,8;
1433000;"Powiat węgrowski";5,1;
1434000;"Powiat wołomiński";4,5;
1435000;"Powiat wyszkowski";4,6;
1436000;"Powiat zwoleński";4,6;
1437000;"Powiat żuromiński";4,6;
1438000;"Powiat żyrardowski";4,9;
1461000;"Powiat m. Ostrołęka";4,8;
1462000;"Powiat m. Płock";4,1;
1463000;"Powiat m. Radom";4,7;
1464000;"Powiat m. Siedlce";4,3;
1465000;"Powiat m. st. Warszawa";4,6;
1601000;"Powiat brzeski";3,6;
1602000;"Powiat głubczycki";3,5;
1603000;"Powiat kędzierzyńsko-kozielski";4,2;
1604000;"Powiat kluczborski";4,8;
1605000;"Powiat krapkowicki";4,2;
1606000;"Powiat namysłowski";4,3;
1607000;"Powiat nyski";3,9;
1608000;"Powiat oleski";4,7;
1609000;"Powiat opolski";3,6;
1610000;"Powiat prudnicki";4,5;
1611000;"Powiat strzelecki";4,0;
1661000;"Powiat m. Opole";4,2;
1801000;"Powiat bieszczadzki";4,1;
1802000;"Powiat brzozowski";4,8;
1803000;"Powiat dębicki";4,8;
1804000;"Powiat jarosławski";4,4;
1805000;"Powiat jasielski";4,6;
1806000;"Powiat kolbuszowski";4,5;
1807000;"Powiat krośnieński";4,3;
1808000;"Powiat leżajski";4,4;
1809000;"Powiat lubaczowski";4,4;
1810000;"Powiat łańcucki";4,0;
1811000;"Powiat mielecki";4,5;
1812000;"Powiat niżański";4,7;
1813000;"Powiat przemyski";4,7;
1814000;"Powiat przeworski";4,9;
1815000;"Powiat ropczycko-sędziszowski";4,6;
1816000;"Powiat rzeszowski";4,6;
1817000;"Powiat sanocki";3,9;
1818000;"Powiat stalowowolski";4,1;
1819000;"Powiat strzyżowski";4,5;
1820000;"Powiat tarnobrzeski";3,5;
1821000;"Powiat leski";4,7;
1861000;"Powiat m. Krosno";3,7;
1862000;"Powiat m. Przemyśl";3,6;
1863000;"Powiat m. Rzeszów";4,7;
1864000;"Powiat m. Tarnobrzeg";3,9;
2001000;"Powiat augustowski";4,2;
2002000;"Powiat białostocki";4,3;
2003000;"Powiat bielski";4,3;
2004000;"Powiat grajewski";4,0;
2005000;"Powiat hajnowski";3,7;
2006000;"Powiat kolneński";4,5;
2007000;"Powiat łomżyński";4,7;
2008000;"Powiat moniecki";4,7;
2009000;"Powiat sejneński";4,2;
2010000;"Powiat siemiatycki";4,4;
2011000;"Powiat sokólski";4,6;
2012000;"Powiat suwalski";4,5;
2013000;"Powiat wysokomazowiecki";5,0;
2014000;"Powiat zambrowski";3,7;
2061000;"Powiat m. Białystok";4,3;
2062000;"Powiat m. Łomża";4,2;
2063000;"Powiat m. Suwałki";4,5;
2201000;"Powiat bytowski";4,9;
2202000;"Powiat chojnicki";4,9;
2203000;"Powiat człuchowski";3,5;
2204000;"Powiat gdański";4,5;
2205000;"Powiat kartuski";5,0;
2206000;"Powiat kościerski";4,5;
2207000;"Powiat kwidzyński";3,7;
2208000;"Powiat lęborski";4,1;
2209000;"Powiat malborski";4,1;
2210000;"Powiat nowodworski";4,7;
2211000;"Powiat pucki";4,5;
2212000;"Powiat słupski";4,1;
2213000;"Powiat starogardzki";4,3;
2214000;"Powiat tczewski";4,6;
2215000;"Powiat wejherowski";5,1;
2216000;"Powiat sztumski";3,8;
2261000;"Powiat m. Gdańsk";5,4;
2262000;"Powiat m. Gdynia";4,6;
2263000;"Powiat m. Słupsk";4,1;
2264000;"Powiat m. Sopot";4,7;
2401000;"Powiat będziński";3,6;
2402000;"Powiat bielski";4,3;
2403000;"Powiat cieszyński";4,3;
2404000;"Powiat częstochowski";4,0;
2405000;"Powiat gliwicki";3,9;
2406000;"Powiat kłobucki";4,6;
2407000;"Powiat lubliniecki";4,1;
2408000;"Powiat mikołowski";4,6;
2409000;"Powiat myszkowski";3,8;
2410000;"Powiat pszczyński";4,7;
2411000;"Powiat raciborski";4,2;
2412000;"Powiat rybnicki";4,3;
2413000;"Powiat tarnogórski";4,2;
2414000;"Powiat bieruńsko-lędziński";4,2;
2415000;"Powiat wodzisławski";4,6;
2416000;"Powiat zawierciański";3,9;
2417000;"Powiat żywiecki";4,7;
2461000;"Powiat m. Bielsko-Biała";3,9;
2462000;"Powiat m. Bytom";4,5;
2463000;"Powiat m. Chorzów";4,7;
2464000;"Powiat m. Częstochowa";4,4;
2465000;"Powiat m. Dąbrowa Górnicza";3,6;
2466000;"Powiat m. Gliwice";4,7;
2467000;"Powiat m. Jastrzębie-Zdrój";4,5;
2468000;"Powiat m. Jaworzno";4,3;
2469000;"Powiat m. Katowice";4,7;
2470000;"Powiat m. Mysłowice";4,4;
2471000;"Powiat m. Piekary Śląskie";4,5;
2472000;"Powiat m. Ruda Śląska";4,7;
2473000;"Powiat m. Rybnik";4,9;
2474000;"Powiat m. Siemianowice Śląskie";4,5;
2475000;"Powiat m. Sosnowiec";4,1;
2476000;"Powiat m. Świętochłowice";4,3;
2477000;"Powiat m. Tychy";4,1;
2478000;"Powiat m. Zabrze";4,2;
2479000;"Powiat m. Żory";4,8;
2601000;"Powiat buski";4,4;
2602000;"Powiat jędrzejowski";4,0;
2603000;"Powiat kazimierski";4,2;
2604000;"Powiat kielecki";4,4;
2605000;"Powiat konecki";4,5;
2606000;"Powiat opatowski";4,2;
2607000;"Powiat ostrowiecki";3,7;
2608000;"Powiat pińczowski";4,6;
2609000;"Powiat sandomierski";4,3;
2610000;"Powiat skarżyski";3,8;
2611000;"Powiat starachowicki";4,1;
2612000;"Powiat staszowski";4,8;
2613000;"Powiat włoszczowski";4,8;
2661000;"Powiat m. Kielce";3,7;
2801000;"Powiat bartoszycki";4,0;
2802000;"Powiat braniewski";3,6;
2803000;"Powiat działdowski";5,4;
2804000;"Powiat elbląski";3,6;
2805000;"Powiat ełcki";4,4;
2806000;"Powiat giżycki";3,9;
2807000;"Powiat iławski";4,5;
2808000;"Powiat kętrzyński";2,8;
2809000;"Powiat lidzbarski";3,4;
2810000;"Powiat mrągowski";3,5;
2811000;"Powiat nidzicki";3,9;
2812000;"Powiat nowomiejski";4,4;
2813000;"Powiat olecki";3,3;
2814000;"Powiat olsztyński";3,9;
2815000;"Powiat ostródzki";3,7;
2816000;"Powiat piski";4,2;
2817000;"Powiat szczycieński";4,3;
2818000;"Powiat gołdapski";3,8;
2819000;"Powiat węgorzewski";3,5;
2861000;"Powiat m. Elbląg";4,5;
2862000;"Powiat m. Olsztyn";4,4;
3001000;"Powiat chodzieski";3,8;
3002000;"Powiat czarnkowsko-trzcianecki";4,0;
3003000;"Powiat gnieźnieński";4,6;
3004000;"Powiat gostyński";4,9;
3005000;"Powiat grodziski";5,4;
3006000;"Powiat jarociński";4,3;
3007000;"Powiat kaliski";3,9;
3008000;"Powiat kępiński";4,7;
3009000;"Powiat kolski";4,4;
3010000;"Powiat koniński";4,7;
3011000;"Powiat kościański";4,7;
3012000;"Powiat krotoszyński";4,8;
3013000;"Powiat leszczyński";5,3;
3014000;"Powiat międzychodzki";3,9;
3015000;"Powiat nowotomyski";4,4;
3016000;"Powiat obornicki";3,9;
3017000;"Powiat ostrowski";4,9;
3018000;"Powiat ostrzeszowski";5,1;
3019000;"Powiat pilski";4,3;
3020000;"Powiat pleszewski";4,5;
3021000;"Powiat poznański";4,3;
3022000;"Powiat rawicki";4,6;
3023000;"Powiat słupecki";4,1;
3024000;"Powiat szamotulski";4,2;
3025000;"Powiat średzki";4,9;
3026000;"Powiat śremski";4,2;
3027000;"Powiat turecki";4,7;
3028000;"Powiat wągrowiecki";4,6;
3029000;"Powiat wolsztyński";4,8;
3030000;"Powiat wrzesiński";5,0;
3031000;"Powiat złotowski";4,5;
3061000;"Powiat m. Kalisz";3,5;
3062000;"Powiat m. Konin";3,9;
3063000;"Powiat m. Leszno";4,1;
3064000;"Powiat m. Poznań";5,0;
3201000;"Powiat białogardzki";4,2;
3202000;"Powiat choszczeński";4,1;
3203000;"Powiat drawski";4,0;
3204000;"Powiat goleniowski";4,1;
3205000;"Powiat gryficki";4,0;
3206000;"Powiat gryfiński";3,9;
3207000;"Powiat kamieński";4,3;
3208000;"Powiat kołobrzeski";4,0;
3209000;"Powiat koszaliński";4,2;
3210000;"Powiat myśliborski";3,8;
3211000;"Powiat policki";3,3;
3212000;"Powiat pyrzycki";4,2;
3213000;"Powiat sławieński";4,2;
3214000;"Powiat stargardzki";4,2;
3215000;"Powiat szczecinecki";4,2;
3216000;"Powiat świdwiński";3,9;
3217000;"Powiat wałecki";3,8;
3218000;"Powiat łobeski";3,8;
3261000;"Powiat m. Koszalin";4,1;
3262000;"Powiat m. Szczecin";4,9;
3263000;"Powiat m. Świnoujście";4,6;
