"Kod";"Nazwa";"ogółem;2012;[zł]";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";"ogółem;2019;[zł]";"ogółem;2021;[zł]";
011212000000;"PODREGION KRAKOWSKI";3297,54;3436,01;3552,25;3775,55;4009,95;4293,01;4622,58;4907,62;5321,38;
011212100000;"PODREGION MIASTO KRAKÓW";3877,57;3997,80;4152,52;4431,17;4635,26;4966,20;5368,39;5878,79;7203,41;
011212200000;"PODREGION NOWOSĄDECKI";2887,89;2982,13;3077,10;3188,12;3293,79;3472,91;3720,42;3964,93;4672,68;
011212300000;"PODREGION OŚWIĘCIMSKI";3132,64;3269,93;3384,20;3488,71;3637,14;3861,09;4146,85;4460,97;5216,18;
011212400000;"PODREGION TARNOWSKI";3093,61;3177,39;3264,92;3392,08;3502,00;3670,53;3879,02;4622,36;5400,26;
011216900000;"PODREGION NOWOTARSKI";2931,46;3017,16;3150,27;3257,39;3348,10;3574,34;3871,74;4117,96;4818,64;
012414400000;"PODREGION BIELSKI";3447,62;3587,49;3734,24;3858,04;3987,70;4237,15;4483,74;4798,83;5482,88;
012414500000;"PODREGION BYTOMSKI";3199,75;3299,45;3418,34;3759,71;3880,27;4057,91;4419,00;4711,94;5400,52;
012414600000;"PODREGION CZĘSTOCHOWSKI";3125,06;3244,90;3332,27;3450,42;3561,24;3786,14;4049,05;4378,62;5109,47;
012414700000;"PODREGION GLIWICKI";3865,57;3973,17;4124,38;4327,24;4439,44;4684,88;5007,07;5443,87;6236,00;
012414800000;"PODREGION KATOWICKI";4543,87;4797,17;4753,73;4812,37;4849,77;4911,57;5254,56;5687,92;6417,98;
012414900000;"PODREGION RYBNICKI";4177,22;4379,72;4510,10;4491,17;4480,90;4726,02;5357,82;5699,68;6402,15;
012415000000;"PODREGION SOSNOWIECKI";3691,92;3844,08;3969,09;4210,86;4323,17;4568,47;4902,57;5122,30;5911,69;
012415100000;"PODREGION TYSKI";3355,99;3476,82;3593,28;3764,99;3876,92;4087,29;4376,27;4713,14;5397,89;
020811300000;"PODREGION GORZOWSKI";3172,58;3284,14;3415,80;3536,99;3663,19;3868,02;4183,95;4427,66;5120,21;
020811400000;"PODREGION ZIELONOGÓRSKI";3223,32;3280,67;3431,80;3588,73;3783,43;4005,71;4276,99;4648,88;5395,23;
023015700000;"PODREGION KALISKI";2853,24;2946,01;3050,61;3150,45;3318,27;3556,09;3808,29;4026,68;4671,19;
023015800000;"PODREGION KONIŃSKI";3141,08;3238,91;3336,53;3419,09;3519,61;3734,62;3974,27;4244,80;4999,08;
023015900000;"PODREGION LESZCZYŃSKI";2979,42;3124,90;3249,21;3348,82;3458,30;3716,92;4022,77;4267,47;5021,32;
023016000000;"PODREGION PILSKI";3136,94;3302,81;3394,31;3437,96;3595,33;3809,50;4106,86;4355,58;5021,43;
023016100000;"PODREGION POZNAŃSKI";3377,82;3492,70;3527,19;3677,14;3860,98;4046,48;4267,95;4630,73;5119,01;
023016200000;"PODREGION MIASTO POZNAŃ";4119,68;4256,82;4354,40;4549,11;4770,94;5062,37;5355,57;5713,03;6662,69;
023216300000;"PODREGION KOSZALIŃSKI";3189,44;3304,24;3401,87;3480,06;3639,32;3826,52;4056,76;4410,38;5234,59;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";3045,76;3149,36;3259,79;3338,95;3475,15;3685,73;3956,79;4209,60;5020,01;
023216500000;"PODREGION MIASTO SZCZECIN";3881,46;4029,51;4176,65;4381,58;4539,15;4732,93;5007,48;5408,91;6244,67;
023216600000;"PODREGION SZCZECIŃSKI";3319,75;3437,47;3546,88;3712,34;3856,65;4085,94;4392,88;4679,39;5342,48;
030210100000;"PODREGION JELENIOGÓRSKI";3154,03;3250,31;3392,52;3548,77;3674,78;3889,70;4206,80;4521,92;5352,68;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";4432,22;4620,55;4796,21;4942,92;5068,50;5322,33;5596,48;5989,93;7106,37;
030210300000;"PODREGION WAŁBRZYSKI";3279,29;3383,23;3536,76;3657,49;3796,03;4038,08;4313,16;4676,61;5420,04;
030210400000;"PODREGION WROCŁAWSKI";3322,59;3430,83;3576,33;3634,49;3822,99;4137,53;4516,22;4889,20;5826,56;
030210500000;"PODREGION MIASTO WROCŁAW";3923,93;4129,56;4337,99;4569,88;4800,54;5070,35;5338,47;5757,54;6693,90;
031613100000;"PODREGION NYSKI";3061,39;3178,72;3309,34;3419,91;3532,99;3718,99;3997,58;4333,76;5089,42;
031613200000;"PODREGION OPOLSKI";3477,52;3592,28;3762,67;3942,45;4083,32;4311,92;4524,34;4859,35;5648,43;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";3399,11;3554,43;3675,57;3818,79;3948,47;4174,62;4447,03;4846,24;5689,35;
040410700000;"PODREGION GRUDZIĄDZKI";2920,47;3050,67;3206,48;3256,32;3404,74;3612,10;3849,62;4115,81;4867,83;
040410800000;"PODREGION WŁOCŁAWSKI";3010,94;3158,43;3256,36;3321,87;3460,72;3648,06;3888,69;4204,28;4964,68;
040416700000;"PODREGION INOWROCŁAWSKI";2940,76;3043,51;3138,04;3220,10;3360,99;3564,35;3788,66;4093,58;4852,12;
040416800000;"PODREGION ŚWIECKI";3060,00;3199,93;3318,40;3374,50;3477,03;3707,52;3967,44;4307,52;4980,31;
042214000000;"PODREGION GDAŃSKI";3112,25;3240,53;3379,35;3487,73;3642,68;3865,64;4124,34;4379,60;5128,54;
042214100000;"PODREGION SŁUPSKI";3143,45;3238,52;3386,72;3488,42;3635,45;3855,62;4136,78;4385,63;5295,68;
042214200000;"PODREGION STAROGARDZKI";3307,13;3484,32;3588,58;3666,90;3773,87;4054,95;4285,73;4540,04;5364,30;
042214300000;"PODREGION TRÓJMIEJSKI";4307,53;4481,04;4701,11;4864,05;5028,48;5238,03;5563,08;6003,14;6883,40;
042217200000;"PODREGION CHOJNICKI";2875,58;2992,83;3087,15;3189,85;3327,93;3516,25;3801,97;4083,25;4851,74;
042815400000;"PODREGION ELBLĄSKI";3005,10;3111,75;3216,30;3290,30;3437,24;3645,89;3876,70;4108,59;4854,96;
042815500000;"PODREGION EŁCKI";2927,90;3050,59;3184,97;3266,68;3358,68;3564,23;3772,26;4076,30;4838,42;
042815600000;"PODREGION OLSZTYŃSKI";3335,89;3454,47;3588,25;3729,95;3847,78;4006,68;4233,47;4567,00;5421,76;
051011500000;"PODREGION ŁÓDZKI";2992,86;3110,25;3209,75;3394,76;3540,82;3792,68;4112,89;4425,94;5209,89;
051011600000;"PODREGION MIASTO ŁÓDŹ";3568,84;3710,91;3837,47;4047,78;4230,12;4462,50;4779,47;5174,84;6062,04;
051011700000;"PODREGION PIOTRKOWSKI";3716,14;3814,85;3909,40;4080,69;4112,94;4295,53;4577,43;4900,74;5672,66;
051011800000;"PODREGION SIERADZKI";2894,84;3027,70;3132,10;3244,38;3376,74;3598,36;3843,91;4162,04;4996,58;
051011900000;"PODREGION SKIERNIEWICKI";3036,60;3172,21;3276,14;3373,29;3519,19;3717,10;4019,94;4294,66;5078,74;
052615200000;"PODREGION KIELECKI";3232,85;3356,48;3431,51;3583,05;3664,89;3937,89;4185,79;4521,70;5319,61;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";3291,86;3335,36;3445,26;3575,32;3679,81;3853,80;4138,65;4422,13;5138,20;
060610900000;"PODREGION BIALSKI";3099,43;3198,96;3282,31;3363,24;3469,05;3588,82;3779,33;4065,92;4799,77;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";3043,53;3130,90;3233,74;3347,11;3493,59;3634,30;3888,26;4154,10;4872,40;
060611100000;"PODREGION LUBELSKI";3683,93;3799,31;3945,88;4020,39;4123,72;4373,42;4634,87;4971,67;5746,61;
060611200000;"PODREGION PUŁAWSKI";3127,01;3236,43;3332,48;3454,98;3583,02;3781,03;3975,68;4243,38;4982,57;
061813300000;"PODREGION KROŚNIEŃSKI";2897,31;3021,02;3120,10;3238,01;3373,28;3563,31;3816,09;4114,56;4872,03;
061813400000;"PODREGION PRZEMYSKI";3075,10;3185,68;3273,45;3384,37;3500,55;3561,36;3787,30;4050,21;4852,38;
061813500000;"PODREGION RZESZOWSKI";3361,22;3505,38;3675,54;3808,78;3917,33;4092,84;4358,42;4665,14;5494,92;
061813600000;"PODREGION TARNOBRZESKI";3123,38;3249,28;3374,13;3462,01;3596,77;3839,87;4085,46;4382,29;5112,92;
062013700000;"PODREGION BIAŁOSTOCKI";3394,57;3506,84;3595,71;3723,50;3838,54;4026,05;4270,81;4592,65;5463,41;
062013800000;"PODREGION ŁOMŻYŃSKI";3205,05;3357,85;3449,04;3557,43;3723,90;4048,63;4328,50;4644,86;5505,78;
062013900000;"PODREGION SUWALSKI";3249,44;3353,13;3482,16;3584,33;3642,99;3887,15;4147,62;4425,12;5135,12;
071412800000;"PODREGION MIASTO WARSZAWA";5077,53;5226,05;5385,80;5591,46;5739,61;6059,04;6432,78;6802,60;7687,58;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";3409,06;3507,11;3605,74;3709,70;3845,26;4067,86;4396,51;4752,58;5433,38;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";4063,55;4218,58;4379,49;4470,39;4613,34;4770,87;5229,27;5610,69;6350,07;
071422500000;"PODREGION CIECHANOWSKI";3083,53;3184,93;3287,94;3416,70;3553,58;3772,07;4071,58;4413,70;5147,09;
071422600000;"PODREGION OSTROŁĘCKI";3321,92;3400,61;3543,29;3586,70;3733,47;3952,04;4175,95;4444,58;5218,29;
071422700000;"PODREGION RADOMSKI";3352,95;3466,95;3580,06;3667,17;3788,20;4029,81;4266,89;4546,40;5441,53;
071427000000;"PODREGION PŁOCKI";4072,92;4227,84;4327,54;4467,57;4595,35;4791,24;5083,15;5437,92;6408,11;
071427100000;"PODREGION SIEDLECKI";3194,93;3269,56;3413,81;3562,44;3646,06;3830,06;4097,88;4421,48;5232,74;
071427300000;"PODREGION ŻYRARDOWSKI";3634,02;3689,22;3905,08;3978,44;4111,52;4341,10;4582,52;4902,14;5864,86;
